"Indicator type","Indicator","Description"
"hostname","u.infotracklaf.top",""
"IPv4","188.114.96.3","CN=US ASN=AS13335 - CLOUDFLARENET, US"
"IPv6","2a06:98c1:3120::3","CN=US ASN=AS13335 - CLOUDFLARENET, US"
